time, location, uncertainty,time(adjusted)
1580697798.25,0.4803915976,1.4415303262,7.4200000763
1580697798.27,0.4803915976,0.0110795505,7.4400000572
1580697798.31,0.4803915976,-1.5119366523,7.4800000191
1580697798.45,0.5200278282,-1.4619366523,7.620000124
1580697798.45,0.5200278282,4.3225699919,7.620000124
1580697798.64,0.5599540234,4.3725699919,7.8100001812
1580697798.68,0.5599540234,-2.4715444288,7.8500001431
1580697798.7,0.5599540234,0.7154975923,7.870000124
1580697798.79,0.5599540234,-0.7851740288,7.9600000381
1580697798.83,0.5599540234,0.0534005554,8
1580697798.84,0.6000080108,0.1034005554,8.0099999905
1580697798.88,0.6000080108,-5.4453721239,8.0500001907
1580697798.92,0.6000080108,1.6771213679,8.0900001526
1580697798.96,0.6000080108,0.0485525047,8.1300001144
1580697799,0.6000080108,0.0246328111,8.1700000763
1580697799.05,0.6400098324,0.0746328111,8.2200000286
1580697799.05,0.6400098324,0.0206028856,8.2200000286
1580697799.09,0.6400098324,0.0145906824,8.2599999905
1580697799.13,0.6400098324,0.0112947269,8.3000001907
1580697799.18,0.6400098324,0.0092134573,8.3500001431
1580697799.2,0.6400098324,0.0077798677,8.370000124
1580697799.25,0.679998827,0.0577798677,8.4200000763
1580697799.25,0.679998827,0.0209930945,8.4200000763
1580697799.29,0.679998827,0.0147853074,8.4600000381
1580697799.33,0.679998827,0.0114110035,8.5
1580697799.38,0.679998827,0.0092906832,8.5500001907
1580697799.42,0.679998827,0.0078348593,8.5900001526
1580697799.45,0.7208132266,0.0578348593,8.620000124
1580697799.47,0.7208132266,0.0207824316,8.6400001049
1580697799.51,0.7208132266,0.0146805013,8.6800000668
1580697799.52,0.7208132266,0.0113484752,8.6900000572
1580697799.58,0.7208132266,0.0092491909,8.75
1580697799.62,0.7208132266,0.007805331,8.7899999619
1580697799.64,0.760146427,0.057805331,8.8100001812
1580697799.67,0.760146427,0.0211570138,8.8400001526
1580697799.71,0.760146427,0.0148664289,8.8800001144
1580697799.75,0.760146427,0.0114592627,8.9200000763
1580697799.8,0.760146427,0.009322649,8.9700000286
1580697799.84,0.760146427,0.0078575798,9.0099999905
1580697799.84,0.8001846312,0.0578575798,9.0099999905
1580697799.85,0.8001846312,0.0209798298,9.0199999809
1580697799.9,0.8001846312,0.0147787265,9.0700001717
1580697799.94,0.8001846312,0.0114070832,9.1100001335
1580697799.99,0.8001846312,0.0092880842,9.1600000858
1580697800.03,0.8001846312,0.0078330109,9.2000000477
1580697800.04,0.840141201,0.0578330109,9.2100000381
1580697800.08,0.840141201,0.0210007026,9.25
1580697800.12,0.840141201,0.0147890808,9.2899999619
1580697800.17,0.840141201,0.011413251,9.3400001526
1580697800.21,0.840141201,0.009292173,9.3800001144
1580697800.24,0.8801340102,0.059292173,9.4100000858
1580697800.25,0.8801340102,0.0209737022,9.4200000763
1580697800.27,0.8801340102,0.0147756856,9.4400000572
1580697800.31,0.8801340102,0.0114052715,9.4800000191
1580697800.35,0.8801340102,0.0092868831,9.5199999809
1580697800.4,0.8801340102,0.0078321566,9.5700001717
1580697800.45,0.9200558184,0.0578321566,9.620000124
1580697800.45,0.9200558184,0.0210094724,9.620000124
1580697800.46,0.9200558184,0.0147934294,9.6300001144
1580697800.5,0.9200558184,0.0114158407,9.6700000763
1580697800.55,0.9200558184,0.0092938895,9.7200000286
1580697800.59,0.9200558184,0.0078371394,9.7599999905
1580697800.61,0.9200558184,0.0067751789,9.7799999714
1580697800.64,0.9601516246,0.0567751789,9.8100001812
1580697800.66,0.9601516246,0.0209765028,9.8300001621
1580697800.7,0.9601516246,0.0147770755,9.870000124
1580697800.74,0.9601516246,0.0114060996,9.9100000858
1580697800.79,0.9601516246,0.0092874321,9.9600000381
1580697800.81,0.9601516246,0.0078325471,9.9800000191
1580697800.84,0.9999880314,0.0578325471,10.0099999905
1580697800.86,0.9999880314,0.0210309644,10.0299999714
1580697800.9,0.9999880314,0.014804082,10.0700001717
1580697800.95,0.9999880314,0.0114221832,10.120000124
1580697800.99,0.9999880314,0.0092980928,10.1600000858
1580697801.03,0.9999880314,0.0078401281,10.2000000477
1580697801.04,1.0401743888,0.0578401281,10.2100000381
1580697801.08,1.0401743888,0.0209425413,10.25
1580697801.12,1.0401743888,0.0147602137,10.2899999619
1580697801.17,1.0401743888,0.0113960508,10.3400001526
1580697801.18,1.0401743888,0.0092807686,10.3500001431
1580697801.22,1.0401743888,0.0078278072,10.3900001049
1580697801.24,1.0601864099,0.0578278072,10.4100000858
1580697801.27,1.0601864099,0.0249675369,10.4400000572
1580697801.31,1.0601864099,0.0166522324,10.4800000191
1580697801.33,1.0601864099,0.012491879,10.5
1580697801.38,1.0601864099,0.0099948019,10.5500001907
1580697801.42,1.0601864099,0.0083297232,10.5900001526
1580697801.47,1.0601864099,0.0071402046,10.6400001049
1580697801.51,1.0601864099,0.0062479691,10.6800000668
1580697801.53,1.0601864099,0.0055539508,10.7000000477
1580697801.59,1.0601864099,0.0049987001,10.7599999905
1580697801.63,1.0601864099,0.0045443802,10.8000001907
1580697801.68,1.0601864099,0.0041657639,10.8500001431
1580697801.73,1.0601864099,0.0038453846,10.9000000954
1580697801.74,1.0601864099,0.0035707653,10.9100000858
1580697801.8,1.0601864099,0.0033327556,10.9700000286
1580697801.84,1.0601864099,0.0031244922,11.0099999905
1580697801.88,1.0601864099,0.0029407266,11.0500001907
1580697801.93,1.0601864099,0.0027773765,11.1000001431
1580697801.97,1.0601864099,0.0026312188,11.1400001049
1580697802.01,1.0601864099,0.002499675,11.1800000668
1580697802.02,1.0601864099,0.0023806576,11.1900000572
1580697802.06,1.0601864099,0.0022724587,11.2300000191
1580697802.11,1.0601864099,0.0021736673,11.2799999714
1580697802.15,1.0601864099,0.0020831076,11.3200001717
1580697802.19,1.0601864099,0.001999792,11.3600001335
1580697802.24,1.0601864099,0.0019228846,11.4100000858
