time, location, uncertainty
1580697876.08,0.0,0.047619047619
1580697876.2,0.0,0.0243997034999
1580697876.31,0.0,0.01661763556
1580697876.42,0.0,0.012346445209
1580697876.53,0.0,0.00990148288937
1580697876.64,0.0,0.00804169692977
1580697876.74,0.0,0.00702733707871
1580697876.85,0.0,0.00606825880628
1580697876.94,0.0,0.00549607952297
1580697877.04,0.0,0.00487218241864
1580697877.14,0.0,0.00443957411924
1580697877.23,0.0,0.0042135252417
1580697877.33,0.0,0.00382029968206
1580697877.43,0.0,0.00342693409895
1580697877.52,0.0,0.00326296835533
1580697877.61,0.0,0.00311675527575
1580697877.7,0.0,0.00298559484403
1580697877.8,0.0,0.0028173646562
1580697877.89,0.0,0.00261938042979
1580697877.97,0.0,nan
1580697878.06,0.0,nan
1580697878.15,0.0,nan
1580697878.25,0.0,nan
1580697878.33,0.0,nan
1580697878.42,0.0,nan
1580697878.5,0.0,nan
1580697878.59,0.0,nan
1580697878.68,0.0,nan
1580697878.76,0.0,nan
1580697878.85,0.0,nan
1580697878.94,0.0,nan
1580697879.03,0.0,nan
1580697879.11,0.0,nan
1580697879.2,0.0,nan
1580697879.29,0.0,nan
1580697879.37,0.0,nan
1580697879.45,0.0,nan
1580697879.54,0.0,nan
1580697879.63,0.0,nan
1580697879.71,0.0,nan
1580697879.8,0.0,nan
1580697879.88,0.0,nan
1580697879.96,0.0,nan
1580697880.05,0.0,nan
1580697880.14,0.0,nan
1580697880.23,0.0,nan
1580697880.31,0.0,nan
1580697880.4,0.0,nan
1580697880.49,0.0,nan
1580697880.56,0.0,nan
1580697880.65,0.0,nan
1580697880.74,0.0,nan
1580697880.82,0.0,nan
1580697880.91,0.0,nan
1580697880.99,0.0,nan
1580697881.08,0.0,nan
1580697881.12,0.0400785922,nan
1580697881.16,0.0400785922,nan
1580697881.25,0.0400785922,nan
1580697881.31,0.0800781726,nan
1580697881.33,0.0800781726,nan
1580697881.42,0.0800781726,nan
1580697881.51,0.0800781726,nan
1580697881.51,0.1200344086,nan
1580697881.59,0.1200344086,nan
1580697881.68,0.1200344086,nan
1580697881.72,0.1600697994,nan
1580697881.76,0.1600697994,nan
1580697881.84,0.1600697994,nan
1580697881.92,0.2005785942,nan
1580697881.93,0.2005785942,nan
1580697882.01,0.2005785942,nan
1580697882.1,0.2005785942,nan
1580697882.12,0.2408905982,nan
1580697882.19,0.2408905982,nan
1580697882.27,0.2408905982,nan
1580697882.32,0.2812259674,nan
1580697882.36,0.2812259674,nan
1580697882.44,0.2812259674,nan
1580697882.52,0.3201779842,nan
1580697882.52,0.3201779842,nan
1580697882.61,0.3201779842,nan
1580697882.7,0.3201779842,nan
1580697882.71,0.359945774,nan
1580697882.78,0.359945774,nan
1580697882.87,0.359945774,nan
1580697882.91,0.4000015736,nan
1580697882.95,0.4000015736,nan
1580697883.03,0.4000015736,nan
1580697883.11,0.4401965618,nan
1580697883.12,0.4401965618,nan
1580697883.2,0.4401965618,nan
1580697883.29,0.4401965618,nan
1580697883.32,0.480273199,nan
1580697883.38,0.480273199,nan
1580697883.46,0.480273199,nan
1580697883.51,0.5200314044,nan
1580697883.55,0.5200314044,nan
1580697883.63,0.5200314044,nan
1580697883.71,0.5599363804,nan
1580697883.71,0.5599363804,nan
1580697883.8,0.5599363804,nan
1580697883.88,0.5599363804,nan
1580697883.91,0.600037384,nan
1580697883.97,0.600037384,nan
1580697884.05,0.600037384,nan
1580697884.11,0.6399913788,nan
1580697884.14,0.6399913788,nan
1580697884.22,0.6399913788,nan
1580697884.31,0.6399913788,nan
1580697884.31,0.6799726008,nan
1580697884.4,0.6799726008,nan
1580697884.48,0.6799726008,nan
1580697884.52,0.7208377838,nan
1580697884.56,0.7208377838,nan
1580697884.64,0.7208377838,nan
1580697884.72,0.7601428032,nan
1580697884.74,0.7601428032,nan
1580697884.81,0.7601428032,nan
1580697884.9,0.7601428032,nan
1580697884.92,0.8002177714,nan
1580697884.98,0.8002177714,nan
1580697885.07,0.8002177714,nan
1580697885.11,0.8400886058,nan
1580697885.15,0.8400886058,nan
1580697885.24,0.8400886058,nan
1580697885.32,0.8800971984,nan
1580697885.32,0.8800971984,nan
1580697885.4,0.8800971984,nan
1580697885.49,0.8800971984,nan
1580697885.51,0.9200685978,nan
1580697885.57,0.9200685978,nan
1580697885.67,0.9200685978,nan
1580697885.72,0.9601707934,nan
1580697885.74,0.9601707934,nan
1580697885.83,0.9601707934,nan
1580697885.91,0.9601707934,nan
1580697885.91,0.9999821662,nan
1580697886.0,0.9999821662,nan
1580697886.08,0.9999821662,nan
1580697886.12,1.0401919842,nan
1580697886.17,1.0401919842,nan
1580697886.24,1.0401919842,nan
1580697886.32,1.0601980924,nan
1580697886.33,1.0601980924,nan
1580697886.41,1.0601980924,nan
1580697886.5,1.0601980924,nan
1580697886.58,1.0601980924,nan
1580697886.67,1.0601980924,nan
1580697886.75,1.0601980924,nan
1580697886.83,1.0601980924,nan
1580697886.92,1.0601980924,nan
1580697887.0,1.0601980924,nan
1580697887.09,1.0601980924,nan
1580697887.17,1.0601980924,nan
1580697887.26,1.0601980924,nan
